run	barcode	alias	path
run001	barcode01	PAY002	results.FAME3-2/run001/dorado_0.7.3/SUP/fastq/run001_barcode01.fastq.gz
run001	barcode02	PAY004	results.FAME3-2/run001/dorado_0.7.3/SUP/fastq/run001_barcode02.fastq.gz
run001	barcode03	PAY005	results.FAME3-2/run001/dorado_0.7.3/SUP/fastq/run001_barcode03.fastq.gz
run001	barcode04	PAY005_F1-R1	results.FAME3-2/run001/dorado_0.7.3/SUP/fastq/run001_barcode04.fastq.gz
run001	barcode05	PAY011	results.FAME3-2/run001/dorado_0.7.3/SUP/fastq/run001_barcode05.fastq.gz
run001	barcode06	PAY013	results.FAME3-2/run001/dorado_0.7.3/SUP/fastq/run001_barcode06.fastq.gz
run001	barcode07	PAY015	results.FAME3-2/run001/dorado_0.7.3/SUP/fastq/run001_barcode07.fastq.gz
run001	barcode08	PAY016	results.FAME3-2/run001/dorado_0.7.3/SUP/fastq/run001_barcode08.fastq.gz
run001	barcode09	PAY017	results.FAME3-2/run001/dorado_0.7.3/SUP/fastq/run001_barcode09.fastq.gz
run001	barcode10	PAY023	results.FAME3-2/run001/dorado_0.7.3/SUP/fastq/run001_barcode10.fastq.gz
run001	barcode11	PAY031	results.FAME3-2/run001/dorado_0.7.3/SUP/fastq/run001_barcode11.fastq.gz
run001	barcode12	PAY039	results.FAME3-2/run001/dorado_0.7.3/SUP/fastq/run001_barcode12.fastq.gz
run001	barcode13	PAY100	results.FAME3-2/run001/dorado_0.7.3/SUP/fastq/run001_barcode13.fastq.gz
run001	barcode14	Pad213_17	results.FAME3-2/run001/dorado_0.7.3/SUP/fastq/run001_barcode14.fastq.gz
run001	barcode15	LEC013	results.FAME3-2/run001/dorado_0.7.3/SUP/fastq/run001_barcode15.fastq.gz
run001	barcode16	LEC015	results.FAME3-2/run001/dorado_0.7.3/SUP/fastq/run001_barcode16.fastq.gz
run001	barcode17	LEC019	results.FAME3-2/run001/dorado_0.7.3/SUP/fastq/run001_barcode17.fastq.gz
run001	barcode18	LEC022	results.FAME3-2/run001/dorado_0.7.3/SUP/fastq/run001_barcode18.fastq.gz
run001	barcode19	LEC035	results.FAME3-2/run001/dorado_0.7.3/SUP/fastq/run001_barcode19.fastq.gz
run001	barcode20	LEC040	results.FAME3-2/run001/dorado_0.7.3/SUP/fastq/run001_barcode20.fastq.gz
run001	barcode21	LEC043	results.FAME3-2/run001/dorado_0.7.3/SUP/fastq/run001_barcode21.fastq.gz
run001	barcode22	LEC043_F1-R1	results.FAME3-2/run001/dorado_0.7.3/SUP/fastq/run001_barcode22.fastq.gz
run001	barcode23	LEC046	results.FAME3-2/run001/dorado_0.7.3/SUP/fastq/run001_barcode23.fastq.gz
run001	barcode24	LEC048	results.FAME3-2/run001/dorado_0.7.3/SUP/fastq/run001_barcode24.fastq.gz
run001	barcode25	VA33_211	results.FAME3-2/run001/dorado_0.7.3/SUP/fastq/run001_barcode25.fastq.gz
run001	barcode26	VA33_211_F1-R1	results.FAME3-2/run001/dorado_0.7.3/SUP/fastq/run001_barcode26.fastq.gz
run001	barcode27	VA33_213	results.FAME3-2/run001/dorado_0.7.3/SUP/fastq/run001_barcode27.fastq.gz
run001	barcode28	VA33_228	results.FAME3-2/run001/dorado_0.7.3/SUP/fastq/run001_barcode28.fastq.gz
run001	barcode29	VA33_235	results.FAME3-2/run001/dorado_0.7.3/SUP/fastq/run001_barcode29.fastq.gz
run001	barcode30	M00_234	results.FAME3-2/run001/dorado_0.7.3/SUP/fastq/run001_barcode30.fastq.gz
run004	barcode01	PAY002_MSH_92460	results.FAME3-2/run004/dorado_0.7.3/SUP/fastq/run004_barcode01.fastq.gz
run004	barcode02	PAY004_MSH_92461	results.FAME3-2/run004/dorado_0.7.3/SUP/fastq/run004_barcode02.fastq.gz
run004	barcode03	PAY004_B_92467	results.FAME3-2/run004/dorado_0.7.3/SUP/fastq/run004_barcode03.fastq.gz
run004	barcode04	PAY004_F_75347	results.FAME3-2/run004/dorado_0.7.3/SUP/fastq/run004_barcode04.fastq.gz
run004	barcode05	PAY005_B_92468	results.FAME3-2/run004/dorado_0.7.3/SUP/fastq/run004_barcode05.fastq.gz
run004	barcode06	PAY005_MSH_92462	results.FAME3-2/run004/dorado_0.7.3/SUP/fastq/run004_barcode06.fastq.gz
