kit,flow_cell_id,experiment_id,barcode,alias
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode01,PAY002
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode02,PAY004
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode03,PAY005
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode04,PAY005_F1-R1
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode05,PAY011
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode06,PAY013
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode07,PAY015
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode08,PAY016
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode09,PAY017
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode10,PAY023
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode11,PAY031
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode12,PAY039
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode13,PAY100
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode14,Pad213_17
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode15,LEC013
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode16,LEC015
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode17,LEC019
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode18,LEC022
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode19,LEC035
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode20,LEC040
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode21,LEC043
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode22,LEC043_F1-R1
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode23,LEC046
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode24,LEC048
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode25,VA33_211
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode26,VA33_211_F1-R1
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode27,VA33_213
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode28,VA33_228
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode29,VA33_235
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode30,M00_234
