kit,flow_cell_id,experiment_id,barcode,alias
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode01,PAY002_MSH_92460
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode02,PAY004_MSH_92461
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode03,PAY004_B_92467
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode04,PAY004_F_75347
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode05,PAY005_B_92468
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode06,PAY005_MSH_92462
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode07,PAY005_F_78774
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode08,PAY011_MSH_92463
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode09,PAY011_MSH_92464
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode10,PAY015_MSH_92466
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode11,PAY015_B_92465
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode12,PAY015_F_75303
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode13,PAY016_B_92469
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode14,PAY016_MSH_92470
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode15,PAY016_F_75252
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode16,PAY017_B_90618
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode17,PAY017_MSH_92681
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode18,PAY024_B_77527
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode19,PAY024_MSH_92481
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode20,PAY027_B_77530
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode21,PAY027_MSH_90620
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode22,PAY028_B_77531
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode23,PAY028_MSH_92484
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode24,PAY031_MSH_92486
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode25,PAY034_B_77537
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode26,PAY037_B_77540
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode27,LEC_013_B_74972
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode28,LEC_013_B_77578
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode29,LEC_015_B_74979
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode30,LEC_015_B_77579
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode31,LEC_019_B_74957
SQK-LSK109,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode32,LEC_019_B_77571
