kit,flow_cell_id,experiment_id,barcode,alias
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode01,EIG-PM461_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode02,EIG-PM463_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode03,EIG-PM444_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode04,EIG-PM474_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode05,EIG-PM475_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode06,EIG-PM467_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode07,EIG-PM469_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode08,F2-PM497_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode09,EIG-PM471_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode11,EIG-PM471_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode12,EIG-PM471_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode13,F2-PM500_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode15,F2-PM500_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode16,F2-PM500_blood
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode33,CDK16_ctrl
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode34,NAA10_1_fet_brain
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode35,NAA10_2_75021
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode36,NAA10_2_75006
SQK-LSK109,FAW44853,Run006_20230322_FAME3_NAA10_Ilaria,barcode37,NAA10_2_fet_brain
