Run	ID	Sample	Reads	Bases
4	FGF14_CD_79607	FGF14_79607	26339	5373256
4	FGF14_CD_90982	FGF14_90982	19244	3893466
4	FGF14_CD_91143	FGF14_91143	38459	8054236
4	FGF14_CD_91231	FGF14_91231	23495	4819825
4	FGF14_CD_83825	FGF14_83825	4646	1554090
4	FGF14_CD_81356	FGF14_81356	22972	5120079
4	FGF14_CD_80332	FGF14_80332	5665	2140170
7	FGF14_45618	FGF14_45618	38877	35845693
7	FGF14_79607	FGF14_79607	163097	38021511
7	FGF14_80329	FGF14_80329	69272	44079946
7	FGF14_80331	FGF14_80331	164588	45861118
7	FGF14_80332	FGF14_80332	41656	32121278
7	FGF14_80357	FGF14_80357	161834	36051483
7	FGF14_80431	FGF14_80431	193934	61654177
7	FGF14_80545	FGF14_80545	130886	34813833
7	FGF14_80548	FGF14_80548	139503	44350003
7	FGF14_80689	FGF14_80689	206204	52647955
7	FGF14_80920	FGF14_80920	253388	65023182
7	FGF14_80996	FGF14_80996	245097	60029628
7	FGF14_81456	FGF14_81456	322259	98665946
7	FGF14_81457	FGF14_81457	134218	37387106
7	FGF14_82415	FGF14_82415	97669	29838769
7	FGF14_82898	FGF14_82898	211547	70307088
7	FGF14_83825	FGF14_83825	33758	26577124
7	FGF14_84267	FGF14_84267	250646	67684723
7	FGF14_84415	FGF14_84415	114617	32710113
7	FGF14_86967	FGF14_86967	121380	35457422
7	FGF14_87668	FGF14_87668	274727	63709837
7	FGF14_87859	FGF14_87859	146985	64221226
7	FGF14_88489	FGF14_88489	212030	53849041
7	FGF14_90120	FGF14_90120	146681	42250917
7	FGF14_90982	FGF14_90982	94271	28204792
7	FGF14_91143	FGF14_91143	161900	39263612
7	FGF14_91231	FGF14_91231	91142	28878394
7	FGF14_91423	FGF14_91423	106003	34639101
7	FGF14_92042	FGF14_92042	248418	57371434
7	FGF14_93354	FGF14_93354	307452	96277563
7	FGF14_93578	FGF14_93578	100943	28671991
7	FGF14_93580	FGF14_93580	140707	37723384
7	FGF14_95081	FGF14_95081	164082	36612704
7	FGF14_95289	FGF14_95289	160253	40667628
7	FGF14_95404	FGF14_95404	187627	46505489
7	FGF14_95405	FGF14_95405	179809	44595674
7	FGF14_95406	FGF14_95406	127642	37758838
7	FGF14_95407	FGF14_95407	67882	44583736
7	FGF14_95408	FGF14_95408	143201	51701096
7	FGF14_95411	FGF14_95411	135838	55787096
7	FGF14_95412	FGF14_95412	134820	42507414
7	FGF14_95716	FGF14_95716	36393	28306374
7	FGF14_96397	FGF14_96397	274874	63123240
7	FGF14_96642	FGF14_96642	770497	167312410
7	FGF14_96652	FGF14_96652	43245	25044557
7	FGF14_96701	FGF14_96701	260699	85191288
7	FGF14_96714	FGF14_96714	196422	42554886
7	FGF14_96715	FGF14_96715	331155	101634466
7	FGF14_97038	FGF14_97038	87047	24626359
8	FGF14_994955	FGF14_994955		
8	FGF14_996918	FGF14_996918		
8	FGF14_998895	FGF14_998895		
8	FGF14_997633	FGF14_997633		
8	FGF14_998750	FGF14_998750		
8	FGF14_998668	FGF14_998668		
8	FGF14_994752	FGF14_994752		
8	FGF14_994326	FGF14_994326		
8	FGF14_998795	FGF14_998795		
8	FGF14_998171	FGF14_998171		
8	FGF14_997817	FGF14_997817		
8	FGF14_993649	FGF14_993649		
8	FGF14_992073	FGF14_992073		
8	FGF14_995731	FGF14_995731		
8	FGF14_995498	FGF14_995498		
8	FGF14_996722	FGF14_996722		
8	FGF14_998552	FGF14_998552		
8	FGF14_998295	FGF14_998295		
8	FGF14_998535	FGF14_998535		
8	FGF14_999161	FGF14_999161		
8	FGF14_993690	FGF14_993690		
8	FGF14_992356	FGF14_992356		
8	FGF14_996956	FGF14_996956		
8	FGF14_999007	FGF14_999007		
8	FGF14_998201	FGF14_998201		
8	FGF14_993150	FGF14_993150		
8	FGF14_996612	FGF14_996612		
8	FGF14_998894	FGF14_998894		
8	FGF14_998557	FGF14_998557		
8	FGF14_997022	FGF14_997022		
8	FGF14_990789	FGF14_990789		
8	FGF14_994991	FGF14_994991		
8	FGF14_998125	FGF14_998125		
8	FGF14_999197	FGF14_999197		
8	FGF14_998326	FGF14_998326		
8	FGF14_993743	FGF14_993743		
8	FGF14_992102	FGF14_992102		
8	FGF14_996151	FGF14_996151		
8	FGF14_996698	FGF14_996698		
8	FGF14_994434	FGF14_994434		
8	FGF14_991699	FGF14_991699		
8	FGF14_995602	FGF14_995602		
8	FGF14_990808	FGF14_990808		
8	FGF14_994994	FGF14_994994		
8	FGF14_994109	FGF14_994109		
8	FGF14_992745	FGF14_992745		
8	FGF14_991234	FGF14_991234		
8	FGF14_990099	FGF14_990099		
8	FGF14_992712	FGF14_992712		
8	FGF14_990418	FGF14_990418		
8	FGF14_992749	FGF14_992749		
8	FGF14_991423	FGF14_991423		
8	FGF14_990667	FGF14_990667		
8	FGF14_990658	FGF14_990658		
8	FGF14_992974	FGF14_992974		
8	FGF14_996889	FGF14_996889		
8	FGF14_998780	FGF14_998780		
8	FGF14_991887	FGF14_991887		
8	FGF14_991065	FGF14_991065		
8	FGF14_990843	FGF14_990843		
8	FGF14_991437	FGF14_991437		
8	FGF14_990832	FGF14_990832		
8	FGF14_97787	FGF14_97787		
8	FGF14_97791	FGF14_97791		
8	FGF14_97799	FGF14_97799		
8	FGF14_97800	FGF14_97800		
8	FGF14_91440	FGF14_91440		
8	FGF14_91439	FGF14_91439		
8	FGF14_92794	FGF14_92794		
8	FGF14_83637	FGF14_83637		
8	FGF14_97638	FGF14_97638		
8	FGF14_97038	FGF14_97038		
8	FGF14_97526	FGF14_97526		
8	FGF14_80330	FGF14_80330		
8	FGF14_81356	FGF14_81356		
8	FGF14_89829	FGF14_89829		
