kit,flow_cell_id,experiment_id,barcode,alias
SQK-LSK109,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode01,EIG_PM461_D_95173_1x1_5
SQK-LSK109,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode02,EIG_PM463_D_95174_1x1_5
SQK-LSK109,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode03,EIG_PM444_D_95176_1x1_5
SQK-LSK109,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode04,EIG_PM474_D_95178_1x1_5
SQK-LSK109,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode05,EIG_PM475_D_95179_1x1_5
SQK-LSK109,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode06,EIG_PM467_D_95180_1x1_5
SQK-LSK109,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode07,EIG_PM469_D_95181_1x1_5
SQK-LSK109,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode08,F1_PM497_D_95189_1x1_5
SQK-LSK109,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode09,EIG_PM471_D_95183_2x0_75
SQK-LSK109,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode11,EIG_PM471_D_95183_1x1_5
SQK-LSK109,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode12,EIG_PM471_D_95183_1x2_5
SQK-LSK109,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode13,F2_PM500_D_95191_2x0_75
SQK-LSK109,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode15,F2_PM500_D_95191_1x1_5
SQK-LSK109,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode16,F2_PM500_D_95191_1x2_5
SQK-LSK109,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode33,CDK16_ctrl
SQK-LSK109,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode34,NAA10_1_fet_brain
SQK-LSK109,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode35,NAA10_2_75021
SQK-LSK109,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode36,NAA10_2_75006
SQK-LSK109,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode37,NAA10_2_fet_brain
SQK-LSK109,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode38,NAA10_1_75021
SQK-LSK109,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode39,NAA10_1_75006
SQK-LSK109,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode40,NAA10_2_93785
SQK-LSK109,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode41,NAA10_1_93785
SQK-LSK109,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode42,CDK16_M92191
SQK-LSK109,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode43,NIPBL_ctrl
SQK-LSK109,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode44,NIPBL_M94947
SQK-LSK109,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode45,MUH001_B_92504
SQK-LSK109,FAW44825,Run005_20230321_FAME3_NAA10_Ilaria,barcode46,F4_PM515_D_95203
