kit,flow_cell_id,experiment_id,barcode,alias
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode01,Sample_01
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode02,Sample_02
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode03,Sample_03
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode04,Sample_04
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode05,Sample_05
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode06,Sample_06
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode07,Sample_07
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode08,Sample_08
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode09,Sample_09
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode10,Sample_10
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode11,Sample_11
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode12,Sample_12
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode13,Sample_13
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode14,Sample_14
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode15,Sample_15
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode16,Sample_16
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode17,Sample_17
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode18,Sample_18
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode19,Sample_19
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode20,Sample_20
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode21,Sample_21
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode22,Sample_22
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode23,Sample_23
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode24,Sample_24
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode25,Sample_25
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode26,Sample_26
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode27,Sample_27
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode28,Sample_28
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode29,Sample_29
SQK-LSK109,FAR54812,001_20220412_FAME3,barcode30,Sample_30
