alias	alias2
FGF14_45618	M45618
FGF14_79607	M79607
FGF14_80329	M80329
FGF14_80331	M80331
FGF14_80332	M80332
FGF14_80357	M80357
FGF14_80431	M80431
FGF14_80545	M80545
FGF14_80548	M80548
FGF14_80689	M80689
FGF14_80920	M80920
FGF14_80996	M80996
FGF14_81456	M81456
FGF14_81457	M81457
FGF14_82415	M82415
FGF14_82898	M82898
FGF14_83825	M83825
FGF14_84267	M84267
FGF14_84415	M84415
FGF14_86967	M86967
FGF14_87668	M87668
FGF14_87859	M87859
FGF14_88489	M88489
FGF14_90120	M90120
FGF14_90982	M90982
FGF14_91143	M91143
FGF14_91231	M91231
FGF14_91423	M91423
FGF14_92042	M92042
FGF14_93354	M93354
FGF14_93578	M93578
FGF14_93580	M93580
FGF14_95081	M95081
FGF14_95289	M95289
FGF14_95404	M95404
FGF14_95405	M95405
FGF14_95406	M95406
FGF14_95407	M95407
FGF14_95408	M95408
FGF14_95411	M95411
FGF14_95412	M95412
FGF14_95716	M95716
FGF14_96397	M96397
FGF14_96642	M96642
FGF14_96652	M96652
FGF14_96701	M96701
FGF14_96714	M96714
FGF14_96715	M96715
FGF14_97038	M97038
