kit,flow_cell_id,experiment_id,barcode,alias
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode73,FAME3_PAY34_B_90623
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode74,FAME3_PAY37_B_77540
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode75,FAME3_PAY37_B_90624
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode76,FAME3_PAY39_B_77542
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode77,FAME3_PAY39_B_90625
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode50,M45618
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode21,M79607
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode51,M80329
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode58,M80331
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode31,M80332
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode20,M80357
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode43,M80431
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode48,M80545
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode35,M80548
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode55,M80689
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode59,M80920
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode65,M80996
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode63,M81456
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode46,M81457
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode42,M82415
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode18,M82898
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode34,M83825
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode53,M84267
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode44,M84415
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode32,M86967
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode29,M87668
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode45,M87859
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode23,M88489
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode37,M90120
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode30,M90982
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode24,M91143
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode36,M91231
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode52,M91423
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode26,M92042
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode61,M93354
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode40,M93578
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode47,M93580
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode19,M95081
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode56,M95289
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode57,M95404
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode64,M95405
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode62,M95406
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode49,M95407
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode25,M95408
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode39,M95411
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode41,M95412
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode54,M95716
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode38,M96397
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode66,M96642
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode17,M96652
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode22,M96701
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode33,M96714
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode28,M96715
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode27,M97038
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode78,OGT_CGI_L20285
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode79,OGT_CGI_L20306
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode60,RFC1_95710
