kit,flow_cell_id,experiment_id,barcode,alias
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode01,run004_barcode01
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode02,run004_barcode02
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode03,run004_barcode03
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode04,run004_barcode04
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode05,run004_barcode05
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode06,run004_barcode06
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode07,run004_barcode07
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode08,run004_barcode08
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode09,run004_barcode09
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode10,run004_barcode10
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode11,run004_barcode11
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode12,run004_barcode12
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode13,run004_barcode13
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode14,run004_barcode14
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode15,run004_barcode15
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode16,run004_barcode16
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode17,run004_barcode17
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode18,run004_barcode18
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode19,run004_barcode19
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode20,run004_barcode20
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode21,run004_barcode21
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode22,run004_barcode22
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode23,run004_barcode23
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode24,run004_barcode24
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode25,run004_barcode25
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode26,run004_barcode26
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode27,run004_barcode27
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode28,run004_barcode28
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode29,run004_barcode29
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode30,run004_barcode30
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode31,run004_barcode31
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode32,run004_barcode32
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode33,run004_barcode33
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode34,run004_barcode34
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode35,run004_barcode35
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode36,run004_barcode36
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode37,run004_barcode37
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode38,run004_barcode38
SQK-LSK109 EXP-NBD196,FAR58791,004_20221019_FAME3_DAB1_FGF14_SCA8,barcode39,run004_barcode39
