kit,flow_cell_id,experiment_id,barcode,alias
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode73,FAME3_PAY34_B_90623
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode74,FAME3_PAY37_B_77540
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode75,FAME3_PAY37_B_90624
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode76,FAME3_PAY39_B_77542
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode77,FAME3_PAY39_B_90625
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode50,FGF14_45618
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode21,FGF14_79607
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode51,FGF14_80329
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode58,FGF14_80331
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode31,FGF14_80332
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode20,FGF14_80357
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode43,FGF14_80431
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode48,FGF14_80545
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode35,FGF14_80548
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode55,FGF14_80689
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode59,FGF14_80920
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode65,FGF14_80996
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode63,FGF14_81456
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode46,FGF14_81457
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode42,FGF14_82415
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode18,FGF14_82898
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode34,FGF14_83825
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode53,FGF14_84267
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode44,FGF14_84415
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode32,FGF14_86967
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode29,FGF14_87668
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode45,FGF14_87859
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode23,FGF14_88489
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode37,FGF14_90120
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode30,FGF14_90982
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode24,FGF14_91143
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode36,FGF14_91231
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode52,FGF14_91423
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode26,FGF14_92042
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode61,FGF14_93354
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode40,FGF14_93578
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode47,FGF14_93580
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode19,FGF14_95081
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode56,FGF14_95289
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode57,FGF14_95404
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode64,FGF14_95405
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode62,FGF14_95406
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode49,FGF14_95407
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode25,FGF14_95408
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode39,FGF14_95411
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode41,FGF14_95412
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode54,FGF14_95716
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode38,FGF14_96397
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode66,FGF14_96642
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode17,FGF14_96652
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode22,FGF14_96701
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode33,FGF14_96714
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode28,FGF14_96715
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode27,FGF14_97038
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode78,OGT_CGI_L20285
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode79,OGT_CGI_L20306
SQK-LSK109,FAW85393,run007_20230614_FGF14_RFC1_FAME_OGT,barcode60,RFC1_95710
