kit,flow_cell_id,experiment_id,barcode,alias
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode01,FGF14_994955
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode02,FGF14_996918
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode03,FGF14_998895
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode04,FGF14_997633
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode05,FGF14_998750
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode06,FGF14_998668
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode07,FGF14_994752
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode08,FGF14_994326
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode09,FGF14_998795
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode10,FGF14_998171
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode11,FGF14_997817
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode12,FGF14_993649
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode13,FGF14_992073
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode14,FGF14_995731
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode15,FGF14_995498
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode16,FGF14_996722
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode17,FGF14_998552
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode18,FGF14_998295
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode19,FGF14_998535
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode20,FGF14_999161
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode21,FGF14_993690
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode22,FGF14_992356
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode23,FGF14_996956
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode24,FGF14_999007
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode25,FGF14_998201
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode26,FGF14_993150
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode27,FGF14_996612
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode28,FGF14_998894
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode29,FGF14_998557
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode30,FGF14_997022
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode31,FGF14_990789
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode32,FGF14_994991
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode33,FGF14_998125
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode34,FGF14_999197
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode35,FGF14_998326
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode36,FGF14_993743
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode37,FGF14_992102
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode38,FGF14_996151
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode39,FGF14_996698
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode40,FGF14_994434
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode41,FGF14_991699
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode42,FGF14_995602
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode43,FGF14_990808
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode44,FGF14_994994
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode45,FGF14_994109
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode46,FGF14_992745
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode47,FGF14_991234
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode48,FGF14_990099
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode49,FGF14_992712
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode50,FGF14_990418
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode51,FGF14_992749
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode52,FGF14_991423
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode53,FGF14_990667
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode54,FGF14_990658
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode55,FGF14_992974
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode56,FGF14_996889
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode57,FGF14_998780
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode58,FGF14_991887
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode59,FGF14_991065
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode60,FGF14_990843
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode61,FGF14_991437
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode62,FGF14_990832
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode63,FGF14_97787
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode64,FGF14_97791
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode65,FGF14_97799
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode66,FGF14_97800
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode67,FGF14_91440
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode68,FGF14_91439
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode69,FGF14_92794
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode70,FGF14_83637
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode71,FGF14_97638
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode72,FGF14_97038
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode73,FGF14_97526
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode74,FGF14_80330
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode75,FGF14_81356
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode76,FGF14_89829
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode77,FGF14_88619
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode78,FGF14_45631
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode79,FGF14_91410
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode80,FGF14_91412
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode81,FGF14_91413
SQK-LSK109,FAW86931,run008_20230906_FGF14_NIPBL_OGT_CGI,barcode82,FGF14_98270
