kit,flow_cell_id,experiment_id,barcode,alias
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode25,FGF14_99310
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode26,FGF14_84415
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode27,FGF14_96859
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode28,FGF14_100148
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode29,FGF14_99599
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode30,FGF14_99439
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode31,FGF14_100389
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode32,FGF14_100781
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode33,FGF14_100782
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode34,FGF14_101502
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode35,FGF14_101503
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode36,FGF14_101504
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode37,FGF14_101505
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode38,FGF14_101507
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode39,FGF14_101508
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode40,FGF14_101510
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode09,FGF14_101511
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode10,FGF14_101512
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode11,FGF14_101513
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode12,FGF14_101514
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode13,FGF14_101515
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode14,FGF14_101516
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode15,FGF14_101518
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode16,FGF14_101519
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode41,FGF14_101520
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode42,FGF14_101521
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode43,FGF14_101523
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode44,FGF14_101522
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode45,FGF14_101524
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode46,FGF14_101604
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode47,FGF14_101605
SQK-LSK109,FAX76094,run014_20240515_FGF14_MARCHF_NAA_DAB_AFF,barcode48,FGF14_101606
